1928
0	0	60	130	136	0	21	
1	0	59.6157	126.098	136	0	21	
2	-0.7612	59.6157	126.173	136	0	21	
3	-1.4932	59.6157	126.395	136	0	21	
4	-2.1677	59.6157	126.756	136	0	21	
5	-2.759	59.6157	127.241	136	0	21	
6	-3.2442	59.6157	127.832	136	0	21	
7	-3.6048	59.6157	128.507	136	0	21	
8	-3.8268	59.6157	129.239	136	0	21	
9	-3.9018	59.6157	130	136	0	21	
10	-3.8268	59.6157	130.761	136	0	21	
11	-3.6048	59.6157	131.493	136	0	21	
12	-3.2442	59.6157	132.168	136	0	21	
13	-2.759	59.6157	132.759	136	0	21	
14	-2.1677	59.6157	133.244	136	0	21	
15	-1.4932	59.6157	133.605	136	0	21	
16	-0.7612	59.6157	133.827	136	0	21	
17	0	59.6157	133.902	136	0	21	
18	0.7612	59.6157	133.827	136	0	21	
19	1.4932	59.6157	133.605	136	0	21	
20	2.1677	59.6157	133.244	136	0	21	
21	2.759	59.6157	132.759	136	0	21	
22	3.2442	59.6157	132.168	136	0	21	
23	3.6048	59.6157	131.493	136	0	21	
24	3.8268	59.6157	130.761	136	0	21	
25	3.9018	59.6157	130	136	0	21	
26	3.8268	59.6157	129.239	136	0	21	
27	3.6048	59.6157	128.507	136	0	21	
28	3.2442	59.6157	127.832	136	0	21	
29	2.759	59.6157	127.241	136	0	21	
30	2.1677	59.6157	126.756	136	0	21	
31	1.4931	59.6157	126.395	136	0	21	
32	0.7612	59.6157	126.173	136	0	21	
33	0	58.4776	122.346	136	0	21	
34	-1.4932	58.4776	122.493	136	0	21	
35	-2.9289	58.4776	122.929	136	0	21	
36	-4.2522	58.4776	123.636	136	0	21	
37	-5.412	58.4776	124.588	136	0	21	
38	-6.3638	58.4776	125.748	136	0	21	
39	-7.0711	58.4776	127.071	136	0	21	
40	-7.5066	58.4776	128.507	136	0	21	
41	-7.6537	58.4776	130	136	0	21	
42	-7.5066	58.4776	131.493	136	0	21	
43	-7.0711	58.4776	132.929	136	0	21	
44	-6.3638	58.4776	134.252	136	0	21	
45	-5.412	58.4776	135.412	136	0	21	
46	-4.2521	58.4776	136.364	136	0	21	
47	-2.9289	58.4776	137.071	136	0	21	
48	-1.4932	58.4776	137.507	136	0	21	
49	0	58.4776	137.654	136	0	21	
50	1.4932	58.4776	137.507	136	0	21	
51	2.9289	58.4776	137.071	136	0	21	
52	4.2522	58.4776	136.364	136	0	21	
53	5.412	58.4776	135.412	136	0	21	
54	6.3638	58.4776	134.252	136	0	21	
55	7.0711	58.4776	132.929	136	0	21	
56	7.5066	58.4776	131.493	136	0	21	
57	7.6537	58.4776	130	136	0	21	
58	7.5066	58.4776	128.507	136	0	21	
59	7.0711	58.4776	127.071	136	0	21	
60	6.3638	58.4776	125.748	136	0	21	
61	5.412	58.4776	124.588	136	0	21	
62	4.2521	58.4776	123.636	136	0	21	
63	2.9289	58.4776	122.929	136	0	21	
64	1.4931	58.4776	122.493	136	0	21	
65	0	56.6294	118.889	136	0	21	
66	-2.1677	56.6294	119.102	136	0	21	
67	-4.2522	56.6294	119.734	136	0	21	
68	-6.1732	56.6294	120.761	136	0	21	
69	-7.8569	56.6294	122.143	136	0	21	
70	-9.2388	56.6294	123.827	136	0	21	
71	-10.2656	56.6294	125.748	136	0	21	
72	-10.8979	56.6294	127.832	136	0	21	
73	-11.1114	56.6294	130	136	0	21	
74	-10.8979	56.6294	132.168	136	0	21	
75	-10.2656	56.6294	134.252	136	0	21	
76	-9.2388	56.6294	136.173	136	0	21	
77	-7.8569	56.6294	137.857	136	0	21	
78	-6.1732	56.6294	139.239	136	0	21	
79	-4.2521	56.6294	140.266	136	0	21	
80	-2.1677	56.6294	140.898	136	0	21	
81	0	56.6294	141.111	136	0	21	
82	2.1677	56.6294	140.898	136	0	21	
83	4.2522	56.6294	140.266	136	0	21	
84	6.1732	56.6294	139.239	136	0	21	
85	7.857	56.6294	137.857	136	0	21	
86	9.2388	56.6294	136.173	136	0	21	
87	10.2656	56.6294	134.252	136	0	21	
88	10.8979	56.6294	132.168	136	0	21	
89	11.1114	56.6294	130	136	0	21	
90	10.8979	56.6294	127.832	136	0	21	
91	10.2656	56.6294	125.748	136	0	21	
92	9.2388	56.6294	123.827	136	0	21	
93	7.8569	56.6294	122.143	136	0	21	
94	6.1731	56.6294	120.761	136	0	21	
95	4.2521	56.6294	119.734	136	0	21	
96	2.1677	56.6294	119.102	136	0	21	
97	0	54.1421	115.858	136	0	21	
98	-2.759	54.1421	116.13	136	0	21	
99	-5.412	54.1421	116.934	136	0	21	
100	-7.8569	54.1421	118.241	136	0	21	
101	-10	54.1421	120	136	0	21	
102	-11.7588	54.1421	122.143	136	0	21	
103	-13.0656	54.1421	124.588	136	0	21	
104	-13.8704	54.1421	127.241	136	0	21	
105	-14.1421	54.1421	130	136	0	21	
106	-13.8704	54.1421	132.759	136	0	21	
107	-13.0656	54.1421	135.412	136	0	21	
108	-11.7588	54.1421	137.857	136	0	21	
109	-10	54.1421	140	136	0	21	
110	-7.8569	54.1421	141.759	136	0	21	
111	-5.412	54.1421	143.066	136	0	21	
112	-2.759	54.1421	143.87	136	0	21	
113	0	54.1421	144.142	136	0	21	
114	2.759	54.1421	143.87	136	0	21	
115	5.412	54.1421	143.066	136	0	21	
116	7.857	54.1421	141.759	136	0	21	
117	10	54.1421	140	136	0	21	
118	11.7588	54.1421	137.857	136	0	21	
119	13.0656	54.1421	135.412	136	0	21	
120	13.8704	54.1421	132.759	136	0	21	
121	14.1421	54.1421	130	136	0	21	
